   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   324        22           9              1              0       0.8888888888888888       8       
   325        16           5              1              0             0.8             4       
   326        18           5              1              0             0.8             4       
   327        16           5              1              0             0.8             4       
   328        18           5              1              0             0.8             5       
   329        17           5              1              0             0.8             5       
   330        19           7              0              0             1.0             7       
   331        20           7              1              0       0.8571428571428571       6       
   332        15           4              1              0            0.75             4       
   333        17           4              1              0            0.75             4       
   334        17           4              1              0            0.75             3       
   335        11           4              0              0             1.0             5       
   336        20           8              1              0            0.875            7       
   337        18           5              1              0             0.8             5       
   338        16           6              1              0       0.8333333333333334       6       
   339        18           5              1              0             0.8             5       
   340        18           5              0              0             1.0             6       
   341        14           3              0              0             1.0             4       
   342        20           7              1              0       0.8571428571428571       7       
   343        17           6              1              0       0.8333333333333334       5       
   344        15           5              1              0             0.8             4       
   345        17           4              1              0            0.75             3       
   346        20           8              1              0            0.875            8       
   347        17           4              0              0             1.0             5       
   348        19           7              1              0       0.8571428571428571       7       
   349        16           7              1              0       0.8571428571428571       7       
   350        20           7              1              0       0.8571428571428571       7       
   351        17           4              1              0            0.75             4       
   352        14           3              0              0             1.0             4       
   353        14           3              0              0             1.0             4       
   354        15           4              1              0            0.75             4       
   355        16           5              0              0             1.0             6       
   356        17           6              1              0       0.8333333333333334       6       
   357        15           4              0              0             1.0             5       
   358        19           6              1              0       0.8333333333333334       6       
   359        19           6              1              0       0.8333333333333334       6       
   360        11           4              0              0             1.0             4       
   361        15           5              1              0             0.8             4       
   362        19           6              0              0             1.0             6       
   363        17           4              0              0             1.0             4       
   364        20           7              0              0             1.0             7       
   365        19           7              0              0             1.0             8       
   366        18           5              1              0             0.8             5       
   367        17           5              0              0             1.0             6       
   368        17           6              1              0       0.8333333333333334       5       
   369        18           5              0              0             1.0             6       
   370        18           5              1              0             0.8             4       
   371        16           6              1              0       0.8333333333333334       5       
   372        18           5              1              0             0.8             5       
   373        19           9              1              0       0.8888888888888888       8       
   374        18           5              1              0             0.8             5       
   375        18           5              1              0             0.8             5       
   376        15           4              1              0            0.75             4       
   377        20           7              1              0       0.8571428571428571       7       
   378        11           2              0              0             1.0             3       
   379        10           2              0              0             1.0             2       
   380        20           7              0              0             1.0             7       
   381        11           4              0              0             1.0             5       
   382        19           6              1              0       0.8333333333333334       5       
   383        18           5              1              0             0.8             4       
   384        15           4              1              0            0.75             5       
   385        10           2              0              0             1.0             2       
   386        19           6              1              0       0.8333333333333334       6       
   387        18           6              0              0             1.0             6       
   388        16           3              0              0             1.0             3       
   389        18           5              1              0             0.8             4       
   390        19           6              1              0       0.8333333333333334       5       
   391        8            4              0              0             1.0             4       
   392        16           3              0              0             1.0             3       
   393        12           5              1              0             0.8             4       
   394        17           4              1              0            0.75             3       
   395        18           6              1              0       0.8333333333333334       5       
   396        20           7              1              0       0.8571428571428571       6       
   397        16           3              0              0             1.0             3       
   398        18           6              0              0             1.0             7       
   399        18           5              1              0             0.8             5       
   400        16           6              1              0       0.8333333333333334       5       
   401        18           5              1              0             0.8             5       
   402        18           5              1              0             0.8             5       
   403        14           3              0              0             1.0             4       
   404        18           5              1              0             0.8             4       
   405        18           5              1              0             0.8             4       
   406        19           6              1              0       0.8333333333333334       6       
   407        17           4              0              0             1.0             6       
   408        19           7              1              0       0.8571428571428571       6       
   409        15           5              1              0             0.8             4       
   410        14           3              0              0             1.0             4       
   411        14           3              0              0             1.0             4       
   412        17           7              1              0       0.8571428571428571       6       
   413        16           3              0              0             1.0             3       
   414        16           5              1              0             0.8             4       
   415        16           7              1              0       0.8571428571428571       7       
   416        11           3              1              0       0.6666666666666666       3       
   417        18           5              1              0             0.8             4       
   418        17           7              0              0             1.0             8       
   419        17           6              1              0       0.8333333333333334       5       
   420        14           3              0              0             1.0             4       
   421        18           5              1              0             0.8             5       
   422        15           5              1              0             0.8             4       
   423        20           7              1              0       0.8571428571428571       6       
   424        18           5              0              0             1.0             5       
   425        20           7              1              0       0.8571428571428571       7       
   426        11           2              0              0             1.0             3       
   427        17           4              1              0            0.75             3       
   428        14           4              0              0             1.0             4       
   429        16           5              0              0             1.0             6       
   430        20           7              1              0       0.8571428571428571       6       
   431        15           5              0              0             1.0             5       
   432        17           7              0              0             1.0             7       
   433        11           2              0              0             1.0             4       
   434        17           7              0              0             1.0             8       
   435        10           2              0              0             1.0             2       
   436        16           3              0              0             1.0             4       
   437        18           5              1              0             0.8             4       
   438        17           4              0              0             1.0             4       
   439        14           3              0              0             1.0             5       
   440        16           4              0              0             1.0             4       
   441        18           5              1              0             0.8             5       
   442        18           5              1              0             0.8             5       
   443        16           3              0              0             1.0             3       
   444        18           8              1              0            0.875            8       
   445        11           3              1              0       0.6666666666666666       3       
   446        20           8              1              0            0.875            7       
   447        14           3              0              0             1.0             3       
   448        18           5              1              0             0.8             4       
   449        11           4              0              0             1.0             5       
   450        19           6              0              0             1.0             6       
   451        19           6              0              0             1.0             6       
   452        17           4              1              0            0.75             3       
   453        17           5              1              0             0.8             5       
   454        17           4              0              0             1.0             4       
   455        15           4              0              0             1.0             5       
   456        16           6              1              0       0.8333333333333334       6       
   457        16           6              1              0       0.8333333333333334       6       
   458        16           5              0              0             1.0             6       
   459        16           3              0              0             1.0             3       
   460        20           7              1              0       0.8571428571428571       6       
   461        14           3              0              0             1.0             4       
   462        17           4              0              0             1.0             5       
   463        20           7              1              0       0.8571428571428571       7       
   464        18           5              1              0             0.8             6       
   465        14           3              0              0             1.0             4       
