   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   314        17           6              0              0             1.0             6       
   315        17           7              1              0       0.8571428571428571       7       
   316        17           6              1              0       0.8333333333333334       5       
   317        17           6              1              0       0.8333333333333334       6       
   318        16           5              0              0             1.0             6       
   319        19           7              1              0       0.8571428571428571       6       
   320        17           5              0              0             1.0             6       
   321        17           5              1              0             0.8             5       
   322        17           7              1              0       0.8571428571428571       6       
   323        18           6              1              0       0.8333333333333334       5       
   324        21           9              1              0       0.8888888888888888       8       
   325        16           5              1              0             0.8             4       
   326        17           5              1              0             0.8             5       
   327        16           5              1              0             0.8             4       
   328        17           5              1              0             0.8             5       
   329        16           5              1              0             0.8             4       
   330        18           7              0              0             1.0             7       
   331        19           7              1              0       0.8571428571428571       7       
   332        15           4              1              0            0.75             4       
   333        16           4              1              0            0.75             3       
   334        16           4              1              0            0.75             4       
   335        11           4              0              0             1.0             4       
   336        19           8              1              0            0.875            8       
   337        17           5              1              0             0.8             4       
   338        16           6              1              0       0.8333333333333334       5       
   339        17           5              1              0             0.8             5       
   340        17           5              0              0             1.0             5       
   341        14           3              0              0             1.0             4       
   342        19           7              1              0       0.8571428571428571       7       
   343        17           6              1              0       0.8333333333333334       5       
   344        15           5              1              0             0.8             5       
   345        16           4              1              0            0.75             3       
   346        19           8              1              0            0.875            7       
   347        16           4              0              0             1.0             5       
   348        18           7              1              0       0.8571428571428571       6       
   349        16           7              1              0       0.8571428571428571       7       
   350        19           7              1              0       0.8571428571428571       7       
   351        16           4              1              0            0.75             3       
   352        14           3              0              0             1.0             4       
   353        14           3              0              0             1.0             4       
   354        15           4              1              0            0.75             4       
   355        16           5              0              0             1.0             5       
   356        17           6              1              0       0.8333333333333334       6       
   357        15           4              0              0             1.0             5       
   358        18           6              1              0       0.8333333333333334       5       
   359        18           6              1              0       0.8333333333333334       6       
   360        11           4              0              0             1.0             4       
   361        15           5              1              0             0.8             4       
   362        18           6              0              0             1.0             7       
   363        16           4              0              0             1.0             5       
   364        19           7              0              0             1.0             7       
   365        18           7              0              0             1.0             7       
   366        17           5              1              0             0.8             4       
   367        16           5              0              0             1.0             5       
   368        17           6              1              0       0.8333333333333334       5       
   369        17           5              0              0             1.0             5       
   370        17           5              1              0             0.8             5       
   371        16           6              1              0       0.8333333333333334       5       
   372        17           5              1              0             0.8             5       
   373        19           9              1              0       0.8888888888888888       9       
   374        17           5              1              0             0.8             5       
   375        17           5              1              0             0.8             4       
   376        15           4              1              0            0.75             4       
   377        19           7              1              0       0.8571428571428571       7       
   378        11           2              0              0             1.0             3       
   379        10           2              0              0             1.0             2       
   380        19           7              0              0             1.0             8       
   381        11           4              0              0             1.0             5       
   382        18           6              1              0       0.8333333333333334       6       
   383        17           5              1              0             0.8             4       
   384        15           4              1              0            0.75             4       
   385        10           2              0              0             1.0             3       
   386        18           6              1              0       0.8333333333333334       6       
   387        17           6              0              0             1.0             7       
   388        15           3              0              0             1.0             3       
   389        17           5              1              0             0.8             5       
   390        18           6              1              0       0.8333333333333334       6       
   391        8            4              0              0             1.0             4       
   392        15           3              0              0             1.0             3       
   393        12           5              1              0             0.8             4       
   394        16           4              1              0            0.75             3       
   395        17           6              1              0       0.8333333333333334       5       
   396        19           7              1              0       0.8571428571428571       7       
   397        15           3              0              0             1.0             3       
   398        17           6              0              0             1.0             7       
   399        17           5              1              0             0.8             5       
   400        16           6              1              0       0.8333333333333334       6       
   401        17           5              1              0             0.8             5       
   402        17           5              1              0             0.8             5       
   403        14           3              0              0             1.0             3       
